event_index,malicious,detection,event_time,title,description,remediation_actions,attack_simulation
1066,False,,2025-02-20T13:00:04.410083Z,HTTP GET Request with SQL Injection Pattern,"The request contains an SQL injection pattern in the URI, but the target status code is 200 indicating successful handling. According to the detection rules, this is considered a false positive and not malicious.",,True
1067,False,,2025-02-20T13:00:04.439158Z,HTTP GET Request with Directory Traversal Pattern,"The request contains directory traversal pattern '../' in the URI, but the target status code is 200 indicating successful handling. According to the detection rules, this is considered a false positive and not malicious.",,True
1068,False,,2025-02-20T22:00:03.159989Z,HTTP GET Request with Directory Traversal Pattern,"The request contains directory traversal pattern '../' in the URI, but the target status code is 200 indicating successful handling. According to the detection rules, this is considered a false positive and not malicious.",,True
1069,False,,2025-02-20T22:00:03.136784Z,HTTP GET Request with SQL Injection Pattern,"The request contains an SQL injection pattern in the URI, but the target status code is 200 indicating successful handling. According to the detection rules, this is considered a false positive and not malicious.",,True
2485,False,,2025-02-08T22:48:38.050286Z,HTTP 503 Response for SQL Injection Attempt,"The request contains an SQL injection pattern in the URI, but the target status code is 503, indicating the request was not successful. According to the detection rules, this is considered a false positive and not malicious activity.",,
2486,False,,2025-02-08T22:48:38.060667Z,HTTP 503 Response for Directory Traversal Attempt,"The request contains directory traversal pattern '../' in the URI, which matches a detection rule for potential exploit. However, the target status code is 503, indicating the request was not successful. According to the detection rules, this is considered a false positive and not malicious activity.",,
2487,False,,2025-02-08T22:48:38.071126Z,HTTP 503 Response for JavaScript Injection Attempt,"The request contains a JavaScript function call in the URI, which matches a detection rule for potential exploit. However, the target status code is 503, indicating the request was not successful. According to the detection rules, this is considered a false positive and not malicious activity.",,
2493,False,,2025-02-08T22:48:38.055864Z,HTTP GET Request with SQL Injection Pattern,"The request contains a SQL bypass logic pattern in the password parameter (' OR '1' LIKE '1), which matches the ExploitPublicFacingApplication detection rule. However, the target status code is 503, indicating the request was not successful, so this is considered a false positive and not malicious.",,
2494,False,,2025-02-08T22:48:38.066524Z,HTTP GET Request with OS Command Injection Pattern,"The request contains an OS command injection pattern ('; ifconfig') in the domain parameter, which matches the ExploitPublicFacingApplication detection rule. However, the target status code is 503, indicating the request was not successful, so this is considered a false positive and not malicious.",,
2631,False,,2025-02-23T03:00:04.065628Z,HTTP GET Request with Directory Traversal Attempt,"The request contains directory traversal patterns ('../') in the URI, which is suspicious. However, since the target status code is 200, this is considered a false positive according to detection rules and not flagged as malicious.",,True
3465,False,,2025-01-19T15:25:06.996181Z,HTTP GET Request with 500 Status Code,"The request was a GET to the URL with a 500 server error response. According to detection rules, events with non-200 target status codes are considered false positives and not malicious.",,
3466,False,,2025-01-19T15:26:46.297789Z,HTTP GET Request with 200 Status Code,"The request was a GET to the URL with a 200 OK response. The request URI contains a Python file path but no SQL statements, login attempts with SQL bypass, directory traversal, OS commands, or Javascript functions were detected. Therefore, this activity is not considered malicious based on the detection rules.",,
3468,False,,2025-01-19T15:28:41.663770Z,Normal HTTP GET Request,"The request is a standard GET request to /users.json endpoint with status code 200, indicating successful operation. No SQL statements, login attempts with SQL bypass logic, directory traversal, OS commands, or Javascript functions detected in the request URI or parameters.",,
3470,False,,2025-01-19T15:27:42.985865Z,Normal HTTP GET Request,"The HTTP GET request to /?foobar returned status code 200 without any suspicious patterns in the URI or request. No SQL statements, OS commands, Javascript functions, or directory traversal patterns detected. This event is not malicious according to the given detection rules.",,
3474,False,,2025-01-19T15:40:19.669468Z,HTTP 500 Error Response,"The request resulted in a 500 Internal Server Error. No SQL statements, OS commands, Javascript functions, or directory traversal patterns were detected in the request URI or parameters. According to detection rules, requests with non-200 target status codes are considered false positives for malicious activity.",,
