event_index,malicious,detection,event_time,title,description,remediation_actions,attack_simulation
0,False,,2025-03-03T05:00:02Z,GetSecretValue from Secrets Manager,"An IAM user 'HarunG1' accessed the secret 'secretPassword' successfully. This is allowed only for AWSService user, so it may require further monitoring but is not flagged as malicious based on current rules.",,True
1,False,,2025-03-03T21:00:02Z,GetSecretValue from Secrets Manager,"An IAM user 'HarunG1' accessed the secret 'secretPassword' successfully. Although the responseElements is null indicating success, access to secretPassword is only allowed for AWSService user. This event is not flagged as malicious based on current rules but should be monitored for compliance.",,True
3,False,,2025-03-03T00:00:02Z,GetSecretValue Access to secretPassword,"Access to 'secretPassword' secret value was successful by IAMUser HarunG1. According to false positives, only AWSService users are allowed to access secretPassword, but this user is an IAMUser, so it is unusual but not confirmed malicious without further context.",,True
6,False,,2025-03-03T14:00:02Z,GetSecretValue Access to secretPassword,"A user 'HarunG1' accessed the secret value 'secretPassword' in Secrets Manager successfully. This is allowed only for AWSService user, so this access may need further review but is not flagged as malicious by current rules.",,True
7,False,,2025-03-03T22:00:02Z,GetSecretValue Access to secretPassword,"A user 'HarunG1' accessed the secret value 'secretPassword' in Secrets Manager successfully at 22:00, which is within usual working hours (08:00-23:00). Although this access is only allowed for AWSService user, this event alone is not flagged as malicious by current rules.",,True
9,False,,2025-03-03T12:00:02Z,GetSecretValue called on secretPassword,"Access to secretPassword value was attempted by IAM user HarunG1. Since the responseElements is null, the access was successful. However, only AWSService user is allowed to access secretPassword, so this may be suspicious but not confirmed malicious based on current rules.",,True
11,False,,2025-03-03T19:00:02Z,GetSecretValue Access to secretPassword,"An IAMUser HarunG1 accessed the secret value 'secretPassword' in Secrets Manager. According to the rule, access to 'secretPassword' is only considered malicious if done by users other than AWSService. Since the user is IAMUser, this could be suspicious, but no prior related malicious activity is detected. Also, the responseElements is null indicating successful access, but no further context to confirm maliciousness.",,True
14,False,,2025-03-03T02:00:02Z,GetSecretValue from Secrets Manager,"An IAM user HarunG1 accessed the secret value 'secretPassword'. Although responseElements is null indicating success, the user is not AWSService type, which is unusual but not flagged as malicious by the rules.",,True
15,False,,2025-03-03T13:00:02Z,GetSecretValue from Secrets Manager,"An IAM user HarunG1 accessed the secret value 'secretPassword'. Although responseElements is null indicating success, the user is not AWSService type, which is unusual but not flagged as malicious by the rules.",,True
16,False,,2025-03-03T16:00:02Z,GetSecretValue from Secrets Manager,"An IAM user HarunG1 accessed the secret value 'secretPassword'. Although responseElements is null indicating success, the user is not AWSService type, which is unusual but not flagged as malicious by the rules.",,True
20,False,,2025-03-03T09:00:02Z,GetSecretValue Access to secretPassword,"An IAM user 'HarunG1' accessed the 'secretPassword' value in Secrets Manager successfully. According to the rules, only AWSService users should access this secret, so this access is suspicious but not flagged as malicious without further context.",,True
24,False,,2025-03-04T04:00:02Z,GetSecretValue Access to secretPassword,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' successfully. This is allowed only for AWSService users, but this event was performed by an IAM user, which may require further investigation.",,True
27,False,,2025-03-04T19:00:02Z,GetSecretValue from Secrets Manager,"The secret 'secretPassword' was accessed successfully by IAM user 'HarunG1'. However, this is not considered malicious because only AWSService user is allowed to access 'secretPassword' value, and this user is not AWSService. This event could be benign or require further investigation but is not flagged as malicious by current rules.",,True
30,False,,2025-03-04T23:00:02Z,GetSecretValue Access to secretPassword,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' in Secrets Manager. The responseElements is null, indicating successful access. However, only AWSService users are allowed to access 'secretPassword', so this access may require further investigation.",,True
34,False,,2025-03-04T16:00:02Z,GetSecretValue for secretPassword,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' in Secrets Manager. According to false positive rules, only AWSService user can access 'secretPassword' value. Since this user is IAMUser, this access is suspicious but not confirmed malicious without additional context.",,True
36,False,,2025-03-04T15:00:02Z,Access to secretPassword in Secrets Manager,"An IAM user HarunG1 accessed the secretPassword value in Secrets Manager successfully. According to false positives, only AWSService user can access secretPassword, so this may be a concern but no direct malicious activity detected here.",,True
38,False,,2025-03-04T21:00:02Z,GetSecretValue called on secretPassword,"An IAM user 'HarunG1' accessed the secret value 'secretPassword'. Although the responseElements is null indicating successful access, this is allowed only for AWSService users. Since the user is an IAMUser, this requires further investigation but is not flagged as malicious by the current rules.",,True
40,False,,2025-03-04T10:00:02Z,GetSecretValue Access to secretPassword,"An IAM user HarunG1 accessed the secret value 'secretPassword' in Secrets Manager successfully. According to false positive rules, only AWSService users are allowed to access 'secretPassword', so this access by an IAM user is unusual but not flagged as malicious by the current detection rules.",,True
42,False,,2025-03-04T06:00:02Z,GetSecretValue Access to secretPassword,"An IAM user HarunG1 accessed the secretPassword value in Secrets Manager successfully. This access is allowed only by AWSService user, so this activity is suspicious but not confirmed malicious without further context.",,True
44,False,,2025-03-04T09:00:02Z,GetSecretValue from Secrets Manager,"The IAM user HarunG1 accessed the secretPassword value successfully from Secrets Manager. This activity is allowed since the user is not AWSService type and the access is successful, but it is not flagged as malicious by the current rules.",,True
45,False,,2025-03-04T08:00:02Z,GetSecretValue from Secrets Manager,"The IAM user HarunG1 accessed the secretPassword value successfully from Secrets Manager at 08:00, which is within usual working hours and does not violate any detection rules.",,True
53,False,,2025-03-05T02:00:02Z,Access to secretPassword in Secrets Manager,"An IAM user HarunG1 accessed the secretPassword value in Secrets Manager successfully, but only AWSService users are allowed to access this secret, so this access is unusual and needs review.",,True
55,False,,2025-03-05T21:00:02Z,GetSecretValue event on secretPassword,"An IAM user 'HarunG1' accessed the secret value 'secretPassword'. Although the responseElements is null indicating success, this access is allowed only by AWSService users. Since the user is an IAMUser, this could be suspicious but not flagged as malicious without further context.",,True
