event_index,malicious,detection,event_time,title,description,remediation_actions
7,True,DataEncryptedForImpact,18/Jan/2025:15:35:02 +0000,Suspicious File Upload Detected in databucket12312,"Files with prefix 'conn_log_' were listed and then uploaded with the same filename within 5 minutes, indicating potential malicious activity such as data encryption for impact (ransomware behavior).","1. Immediately isolate the affected bucket to prevent further uploads or downloads.
2. Review access permissions and revoke suspicious user credentials.
3. Investigate the source IP and user activity for further anomalies.
4. Restore affected files from backup if available.
5. Implement monitoring and alerting for similar future activities."
14,True,DataEncryptedForImpact,07/Mar/2025:04:00:04 +0000,Suspicious Data Encryption Activity Detected in databucket12312,"A GET operation was followed by a PUT operation on files with similar filenames within 5 minutes in bucket databucket12312, indicating potential data encryption for impact activity.",Investigate the user arn:aws:iam::767828738635:user/HarunG1 for unauthorized access. Review and restrict permissions if necessary. Monitor for further suspicious activities. Restore affected files from backup if encryption is confirmed.
19,True,DataEncryptedForImpact,07/Mar/2025:04:00:04 +0000,Suspicious File Upload After Listing in Data Bucket,A file named conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log was uploaded to the bucket databucket12312 shortly after the bucket's data prefix was listed and files were downloaded. This pattern matches the DataEncryptedForImpact detection rule indicating potential malicious activity involving data encryption for impact.,Investigate the user arn:aws:iam::767828738635:user/HarunG1's recent activities. Verify the integrity and origin of the uploaded file. Check for any unauthorized data access or encryption activities. Consider revoking or limiting the user's permissions until the investigation is complete. Monitor for similar patterns in the future and alert security personnel.
22,True,DataEncryptedForImpact,07/Mar/2025:04:00:05 +0000,Suspicious File Upload Detected in databucket12312,"Files were listed in the bucket 'databucket12312' and then files were uploaded with same filename within 5 minutes, indicating possible data encryption or tampering activity.",Investigate the user 'arn:aws:iam::767828738635:user/HarunG1' for unauthorized access. Verify file integrity and check for ransomware or malware activity. Consider restoring files from backup and enhancing monitoring and access controls on the bucket.
27,True,DataEncryptedForImpact,22/Feb/2025:15:31:36 +0000,Suspicious Data Encryption Activity Detected in databucket12312,"Files were uploaded to the databucket12312 bucket with filenames that suggest log files. This activity follows previous listing of the bucket and file downloads within 5 minutes, indicating potential data encryption for impact attack.",Investigate the user arn:aws:iam::767828738635:user/HarunG1 for unauthorized access. Check for any ransomware or encryption activity. Restore affected files from backup and enhance monitoring and access controls on the bucket.
34,True,DataEncryptedForImpact,24/Feb/2025:15:00:05 +0000,Malicious Data Encryption Activity Detected,"Within 5 minutes, the bucket 'databucket12312' with data prefix was listed, files were downloaded and then uploaded with the same filename '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log'. This pattern indicates potential data encryption impact activity.",Investigate the user activity and access patterns immediately. Verify if the uploads are legitimate or part of a ransomware or malicious encryption event. Consider revoking or limiting user permissions temporarily. Restore affected files from backups if necessary and enhance monitoring for similar activities.
42,True,DataEncryptedForImpact,21/Feb/2025:10:00:06 +0000,Suspicious Data Encryption Activity Detected on databucket12312,"A file named dummy.log was uploaded to bucket databucket12312 shortly after listing the bucket and downloading the same file within 5 minutes, indicating potential malicious data encryption activity.",Investigate the user activity for arn:aws:iam::767828738635:user/HarunG1. Verify the integrity of the dummy.log file. Restore affected files from backups if needed. Implement stricter access controls and monitoring for the bucket databucket12312.
49,True,DataEncryptedForImpact,21/Feb/2025:10:00:06 +0000,Suspicious Data Encryption Activity Detected in databucket12312,"Within a 5-minute window, the bucket 'databucket12312' was listed, followed by download and upload of files with the same filename 'dummy.log'. This pattern matches the DataEncryptedForImpact detection rule, indicating potential malicious encryption activity for impact.",Immediately isolate the affected bucket 'databucket12312' to prevent further data manipulation. Review user 'arn:aws:iam::767828738635:user/HarunG1' activity and credentials for compromise. Restore affected files from backups if available. Enhance monitoring and alerting for unusual file operations in the bucket. Conduct a full security audit and consider rotating access keys and passwords related to this user.
53,True,DataEncryptedForImpact,07/Mar/2025:01:00:04 +0000,Data Encrypted for Impact Detected,"Files with prefix 'data' in bucket 'databucket12312' were listed and then files with the same filename were downloaded and uploaded within 5 minutes, indicating possible ransomware or data encryption activity.",Immediately isolate the affected bucket and user credentials. Conduct a full forensic analysis to identify the scope of the compromise. Restore data from backups if available. Update security policies and monitor for further suspicious activity.
56,True,DataEncryptedForImpact,07/Mar/2025:01:00:04 +0000,Suspicious Data Encryption Activity Detected in databucket12312,"Within 5 minutes, the bucket databucket12312 with data prefix was listed, files were downloaded and then uploaded with the same filename 'dummy.log'. This pattern matches the DataEncryptedForImpact detection rule, indicating potential malicious activity such as ransomware encrypting and replacing files.",Immediately investigate the user arn:aws:iam::767828738635:user/HarunG1 and their recent activities. Revert the uploaded files from backup if available. Enhance monitoring and restrict write permissions temporarily on the bucket databucket12312. Conduct a full security audit to identify any compromised credentials or systems.
64,True,DataEncryptedForImpact,09/Feb/2025:13:00:09 +0000,Suspicious Data Encryption Activity Detected in databucket12312,"Within 5 minutes, files in the databucket12312 bucket with 'data' prefix were listed, downloaded, and then uploaded with the same filename, indicating potential data encryption for impact (ransomware-like behavior).",Immediately isolate the affected user account and network segment. Conduct a thorough investigation of the uploaded files for unauthorized encryption. Restore affected files from backups if available. Enhance monitoring and alerting for similar activities. Educate users on security best practices and consider implementing stricter access controls and encryption policies.
67,True,DataEncryptedForImpact,09/Feb/2025:13:00:09 +0000,Suspicious Upload After Download in databucket12312,"A file named 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' was downloaded and within 5 minutes, a file named 'dummy.log' was uploaded to the same bucket 'databucket12312'. This sequence matches the DataEncryptedForImpact detection rule indicating potential data encryption for impact.",Investigate the user activity of HarunG1 immediately. Check the contents of 'dummy.log' for signs of encryption or malicious payload. Consider revoking or limiting user permissions temporarily. Monitor the bucket for further suspicious activity and alert the security team.
72,True,DataEncryptedForImpact,13/Feb/2025:15:31:36 +0000,Suspicious Data Encryption Activity Detected in Bucket databucket12312,"The bucket databucket12312 with data prefix was listed previously and now files are being uploaded with similar filenames within 5 minutes, indicating potential data encryption activity for impact (ransomware-like behavior).","Investigate the source of these PUT operations immediately. Verify if this activity is authorized. If unauthorized, revoke the user's access, isolate the affected systems, and restore data from backups. Monitor the bucket for further suspicious activities."
81,True,DataEncryptedForImpact,12/Jan/2025:22:48:19 +0000,Suspicious Bucket Listing Followed by File Operations in databucket12312,"A bucket listing operation was performed on bucket 'databucket12312' followed by PUT operations on files including 'dummy.log' and '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' within 5 minutes, indicating potential data encryption for impact activity.",Investigate the user activity for potential ransomware or malicious data manipulation. Verify the integrity of the uploaded files and restore from backup if necessary. Consider revoking or rotating access credentials for the involved user. Monitor for further suspicious activities in the bucket.
85,True,DataEncryptedForImpact,25/Feb/2025:13:31:35 +0000,Suspicious File Upload Detected in databucket12312,"A file was uploaded to databucket12312 with the same filename as a previously downloaded file within 5 minutes, indicating potential data encryption or tampering for impact.",Investigate the user activity of arn:aws:iam::767828738635:user/HarunG1. Check for unauthorized access or malware presence. Restore affected files from backup if necessary. Implement stricter access controls and monitor for further suspicious activities.
93,True,DataEncryptedForImpact,09/Mar/2025:08:31:36 +0000,Suspicious Data Encryption Activity in databucket12312,"Within 5 minutes, the bucket 'databucket12312' was listed (implied by previous activities) and then files '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' and 'dummy.log' were uploaded with the same filenames, indicating possible malicious encryption and upload of files for impact.",Investigate recent file uploads and downloads in 'databucket12312'. Verify the integrity and source of the uploaded files. Check for any unauthorized access or compromised credentials. Consider restoring data from backups and enhancing monitoring and alerting for suspicious activities.
101,True,DataEncryptedForImpact,07/Mar/2025:10:31:35 +0000,Potential Data Encryption Activity Detected in databucket12312,"Within 5 minutes, the bucket databucket12312 was listed and then files with the 'conn_log_' prefix were downloaded and uploaded with the same filename, indicating possible data encryption for impact attack.",Investigate the user activity of arn:aws:iam::767828738635:user/HarunG1. Check for unauthorized access or compromise. Consider revoking or rotating credentials. Monitor further activities on the bucket for suspicious behavior. Implement stricter access controls and enable alerts for similar patterns.
108,True,DataEncryptedForImpact,07/Mar/2025:13:00:03 +0000,Potential Data Encryption for Impact Detected,"Within 5 minutes of listing the bucket 'databucket12312', files were downloaded and then uploaded with the same filename 'dummy.log'. This behavior matches the DataEncryptedForImpact detection rule indicating possible malicious encryption and re-uploading of data for impact.",Immediately investigate the user activity of 'HarunG1'. Verify the integrity and authenticity of the uploaded files. Restore affected files from backups if necessary. Monitor for further suspicious activities and consider revoking or limiting user permissions temporarily.
112,True,DataEncryptedForImpact,07/Mar/2025:13:00:03 +0000,Suspicious Data Encryption Activity Detected,"The object 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' was downloaded and then uploaded with the same filename within 5 minutes in bucket 'databucket12312'. This pattern matches the DataEncryptedForImpact detection rule, indicating potential malicious data encryption activity.",Investigate the user 'arn:aws:iam::767828738635:user/HarunG1' activity for unauthorized access. Review access permissions to the bucket 'databucket12312' and restrict if necessary. Monitor for further suspicious file uploads and downloads. Consider restoring affected files from backups and alerting security teams.
117,True,DataEncryptedForImpact,07/Mar/2025:15:00:04 +0000,Suspicious Data Encryption Activity Detected,"Within 5 minutes, files were downloaded and then uploaded with the same filename in bucket 'databucket12312' indicating potential data encryption for impact attack.",Investigate the user activity for arn:aws:iam::767828738635:user/HarunG1. Check for unauthorized access or malware. Restore affected files from backup if necessary. Implement stricter access controls and monitoring for this bucket.
121,True,DataEncryptedForImpact,07/Mar/2025:15:00:04 +0000,Potential Data Encryption for Impact Detected on databucket12312,"Within 5 minutes, a listing of files with 'data' prefix was followed by download and upload of files with the same filename 'dummy.log' in bucket 'databucket12312'. This pattern indicates potential data encryption for impact activity.",Investigate the user 'arn:aws:iam::767828738635:user/HarunG1' activity and access permissions. Review and restore affected files from backups if available. Implement stricter access controls and monitoring for suspicious file operations in the bucket.
127,True,DataEncryptedForImpact,15/Feb/2025:12:31:36 +0000,Suspicious Data Encryption Activity Detected in databucket12312,"Files with prefix 'data' were listed and then files were downloaded and uploaded with the same filename within 5 minutes, indicating potential malicious encryption activity for impact.",Immediately investigate the user arn:aws:iam::767828738635:user/HarunG1 for unauthorized access. Review and restrict permissions on bucket databucket12312. Restore affected files from backups if available. Monitor for further suspicious activity and consider rotating access keys and credentials.
130,True,DataEncryptedForImpact,08/Mar/2025:18:00:04 +0000,Suspicious Data Encryption Activity in databucket12312,"A listing operation on databucket12312 was immediately followed by a file download and upload with the same filename within 5 minutes, indicating potential data encryption for impact attack.",Investigate the user activity of arn:aws:iam::767828738635:user/HarunG1. Review access permissions and consider revoking or limiting access. Check for signs of ransomware or data exfiltration. Enable alerts for similar future activities and perform a security audit on the affected bucket.
134,True,DataEncryptedForImpact,08/Mar/2025:18:00:04 +0000,Suspicious Data Encryption Activity Detected on databucket12312,"The bucket 'databucket12312' was listed and files were downloaded and then uploaded with the same filename within 5 minutes, indicating potential data encryption for impact attack.",Investigate the user 'arn:aws:iam::767828738635:user/HarunG1' activities and verify the integrity of the uploaded files. Consider revoking or limiting the user's permissions temporarily. Enable monitoring and alerting for similar activities. Restore data from backups if malicious encryption is confirmed.
137,True,DataEncryptedForImpact,08/Mar/2025:18:00:05 +0000,Suspicious Data Encryption Activity Detected,"Within one minute, the file 'dummy.log' was downloaded and then uploaded with the same filename in bucket 'databucket12312', which has a data prefix. This pattern matches the DataEncryptedForImpact detection rule indicating potential malicious data encryption activity.",Immediately isolate the affected bucket and user account. Conduct a full investigation of the uploaded file for unauthorized modifications or encryption. Restore affected files from backup if necessary. Review access logs and tighten permissions to prevent further unauthorized activity.
141,True,DataEncryptedForImpact,18/Feb/2025:01:31:36 +0000,Suspicious File Upload After Listing in databucket12312,"The bucket databucket12312 with data prefix was listed and then files including dummy.log were downloaded and uploaded with the same filename within 5 minutes, indicating potential data encryption activity for impact.",Investigate the user arn:aws:iam::767828738635:user/HarunG1 and the IP 13.61.175.243 for unauthorized access. Review and restrict permissions on the bucket databucket12312. Monitor for further suspicious activity and consider restoring affected files from backups.
144,True,DataEncryptedForImpact,11/Feb/2025:00:00:07 +0000,Suspicious Data Encryption Activity Detected,"The object 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' in bucket 'databucket12312' was listed, downloaded, and then uploaded with the same filename within 5 minutes, indicating possible data encryption for impact (ransomware behavior).",Immediately investigate the user 'arn:aws:iam::767828738635:user/HarunG1' actions and access patterns. Verify the integrity and confidentiality of the affected files. Consider restoring from backups and rotating credentials. Implement stricter access controls and monitor for further suspicious activities.
148,True,DataEncryptedForImpact,11/Feb/2025:00:00:07 +0000,Suspicious Data Encryption Activity Detected,"Within 5 minutes, the bucket databucket12312 with data prefix had its files listed, downloaded (dummy.log), and then uploaded with the same filename dummy.log. This sequence indicates potential data encryption activity for impact.",Investigate the user arn:aws:iam::767828738635:user/HarunG1 for unauthorized access. Review access permissions and logs for suspicious activities. Consider revoking or limiting user access temporarily. Monitor the bucket for further suspicious activities and alert security team.
153,True,DataEncryptedForImpact,10/Feb/2025:22:00:06 +0000,Suspicious Data Encryption Activity Detected,"After listing the bucket 'databucket12312', a file '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' was downloaded and then uploaded with the same filename within 5 minutes, indicating potential malicious encryption activity for impact.",Investigate the user 'HarunG1' activity immediately. Check for unauthorized access or malware presence. Restore affected files from backup if necessary and enhance monitoring on this bucket for further suspicious activities.
157,True,DataEncryptedForImpact,10/Feb/2025:22:00:07 +0000,Suspicious Data Encryption Activity Detected,"Within 5 minutes, the bucket 'databucket12312' was listed and the file 'dummy.log' was uploaded and then downloaded with the same filename. This sequence matches the pattern of data encryption for impact, indicating a potential malicious activity.",Immediately investigate the user 'arn:aws:iam::767828738635:user/HarunG1' activity. Verify the integrity of the 'dummy.log' file and check for unauthorized changes. Consider revoking or limiting the user's access until a thorough investigation is complete. Review audit logs for additional suspicious activities and enhance monitoring for similar patterns.
161,True,DataEncryptedForImpact,10/Feb/2025:22:00:07 +0000,Suspicious Data Encryption Activity Detected,"Within 5 minutes, the bucket 'databucket12312' had its data prefix listed and files were downloaded and then uploaded with the same filename, indicating potential data encryption for impact (ransomware-like behavior). The object 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' was accessed and then overwritten.",Immediately isolate the affected bucket to prevent further damage. Review access logs for the user 'arn:aws:iam::767828738635:user/HarunG1' and revoke suspicious credentials. Restore data from backups if available. Conduct a full security audit and update incident response plans.
166,True,DataEncryptedForImpact,04/Mar/2025:10:31:36 +0000,Suspicious Data Encryption Activity Detected,"Within 5 minutes, files with prefix 'data' were listed, and files were downloaded and uploaded with the same filename. User HarunG1 uploaded dummy.log shortly after uploading conn_log_...log, indicating potential data encryption for impact.",Immediately investigate the user's activities and access patterns. Verify if the uploads are legitimate backups or malicious encryption attempts. Consider isolating the affected bucket and user account. Restore data from backups if available. Enhance monitoring and alerting for similar patterns in future.
171,True,DataEncryptedForImpact,21/Feb/2025:22:31:35 +0000,Potential Data Encryption for Impact Detected,"The object 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' in bucket 'databucket12312' was uploaded again within 5 minutes after being listed and downloaded, indicating possible encryption activity for impact.","Investigate the user activity and verify if the PUT operations are authorized. Check for recent listings and downloads of files with the same name within the last 5 minutes. If unauthorized, revoke user access and restore affected files from backups."
181,True,DataEncryptedForImpact,26/Feb/2025:21:31:35 +0000,Suspicious File Upload After Listing in Data Bucket,"Files with prefix related to data were listed and then files with the same filenames were uploaded within 5 minutes to the bucket databucket12312, indicating potential data encryption activity for impact.",Investigate the user activity and uploaded files for unauthorized encryption. Restore affected files from backup if necessary. Implement stricter access controls and monitoring for this bucket.
185,True,DataEncryptedForImpact,08/Mar/2025:19:31:36 +0000,Suspicious Data Encryption Activity Detected,"A sequence of activities was detected on bucket 'databucket12312' involving listing files with a data prefix followed by download and upload of files with the same filename within 5 minutes, indicating potential data encryption for impact.","Immediately investigate the user activity and files involved. Verify if the activity was authorized. If malicious, revoke user credentials, restore affected files from backups, and monitor for further suspicious actions."
188,True,DataEncryptedForImpact,06/Mar/2025:15:00:04 +0000,Suspicious File Re-encryption Activity Detected,"The dummy.log file in databucket12312 bucket was listed, downloaded, and then uploaded again with the same filename within 5 minutes, indicating possible data encryption for impact (ransomware activity).",Investigate the user arn:aws:iam::767828738635:user/HarunG1 activity immediately. Verify if the upload was authorized. Restore the original file from backups if available. Monitor the bucket for further suspicious activities and consider applying stricter access controls.
192,True,DataEncryptedForImpact,06/Mar/2025:15:00:04 +0000,Suspicious File Upload and Access Pattern Detected,"The bucket 'databucket12312' was listed and files with prefix 'conn_log_' were uploaded and accessed (HEAD) within 5 minutes with the same filename, indicating potential data encryption activity for impact.",Investigate the user activity of 'arn:aws:iam::767828738635:user/HarunG1'. Verify the integrity of the uploaded files and check for unauthorized encryption or tampering. Consider revoking or limiting the user's permissions temporarily and conduct a thorough review of access logs for further suspicious activities.
196,True,DataEncryptedForImpact,20/Feb/2025:22:31:35 +0000,Suspicious Object Upload Detected,"An object with the same filename 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' was uploaded after it was listed and downloaded within 5 minutes, indicating potential data encryption for impact attack.",Investigate the user activity for potential malicious intent. Verify if the uploaded file is encrypted or altered. Restore affected files from backup if necessary. Implement stricter access controls and monitoring on sensitive buckets.
212,True,DataEncryptedForImpact,18/Feb/2025:23:00:07 +0000,Suspicious Data Encryption Activity Detected,"A sequence of events was detected where the bucket databucket12312 had files listed or downloaded with a data prefix, followed by files being uploaded with the same filename within 5 minutes, indicating potential malicious encryption activity for impact.",Investigate the user activity for arn:aws:iam::767828738635:user/HarunG1. Verify the integrity of the uploaded files and consider restoring from backups. Implement stricter access controls and monitoring on the bucket databucket12312 to prevent unauthorized modifications.
214,True,DataEncryptedForImpact,18/Feb/2025:23:00:07 +0000,Suspicious File Upload After Download in databucket12312,"A file with a data prefix was listed, downloaded, and then uploaded with the same filename within 5 minutes in bucket databucket12312, indicating potential data encryption for impact attack.",Immediately investigate the user activity and the uploaded file. Check for ransomware or malicious modifications. Restore data from backups if necessary and enhance monitoring and access controls on the bucket.
222,True,DataEncryptedForImpact,17/Feb/2025:06:00:07 +0000,Suspicious Activity: File Download and Upload with Same Filename in databucket12312,"Within 5 minutes, a file named 'dummy.log' was downloaded and then uploaded again with the same filename in bucket 'databucket12312'. This sequence of listing, downloading, and uploading the same file within a short time frame matches the DataEncryptedForImpact detection rule, indicating potential malicious activity such as ransomware or data tampering.",Immediately investigate the user 'arn:aws:iam::767828738635:user/HarunG1' activities. Verify the integrity of 'dummy.log' and other files in the bucket. Restore files from backup if tampering is confirmed. Consider revoking or limiting the user's access until the investigation is complete. Monitor for further suspicious activities and enhance logging and alerting mechanisms.
225,True,DataEncryptedForImpact,17/Feb/2025:06:00:07 +0000,Suspicious File Upload After Bucket Listing,A bucket listing was followed by a file upload with the same filename within 5 minutes in bucket 'databucket12312'. This pattern matches the DataEncryptedForImpact detection rule indicating potential malicious activity involving data encryption for impact.,Investigate the uploaded file for unauthorized changes or encryption. Verify the user's intent and credentials. Consider restoring the file from backup if malicious encryption is confirmed. Enhance monitoring and apply stricter access controls to prevent further incidents.
231,True,DataEncryptedForImpact,24/Feb/2025:09:00:06 +0000,Suspicious File Upload After Object Download,"A file '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' was downloaded and then uploaded with the same filename within 5 minutes in bucket 'databucket12312', indicating possible data encryption for impact.",Investigate the user activity for potential malicious intent. Verify the integrity of the uploaded file. Consider revoking or limiting user permissions if unauthorized behavior is confirmed. Implement monitoring and alerting for similar patterns in the future.
234,True,DataEncryptedForImpact,24/Feb/2025:09:00:06 +0000,Suspicious File Upload After Download in databucket12312,"A file named dummy.log was uploaded to the bucket databucket12312 within 5 minutes after files were listed and downloaded. This matches the pattern of data encryption for impact, indicating potential malicious activity such as ransomware encrypting and replacing files.",Investigate the user arn:aws:iam::767828738635:user/HarunG1 activity for unauthorized access. Review and possibly revoke their permissions. Check the contents of dummy.log for signs of malicious code or encryption. Restore affected files from backup if needed. Monitor the bucket for further suspicious activity and apply stricter access controls.
243,True,DataEncryptedForImpact,11/Feb/2025:21:00:06 +0000,Potential Ransomware Activity Detected in databucket12312,"User 'HarunG1' listed files in 'databucket12312' and then downloaded and uploaded the same file '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' within 5 minutes, indicating possible data encryption for impact (ransomware behavior).",Immediately isolate the affected user account and bucket. Conduct a thorough investigation of the user's activities and access patterns. Restore the affected files from backups if available. Strengthen monitoring and alerting for suspicious file operations. Consider applying stricter access controls and multi-factor authentication for sensitive buckets.
245,True,DataEncryptedForImpact,11/Feb/2025:21:00:07 +0000,Potential Ransomware Activity Detected: File Downloaded and Re-uploaded,"A file named conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log was downloaded and then uploaded back to the same bucket databucket12312 within a short time frame. This pattern matches the DataEncryptedForImpact detection rule, indicating potential ransomware or malicious data encryption activity.","1. Immediately isolate the affected bucket to prevent further unauthorized access.
2. Review user HarunG1's activities and credentials for compromise.
3. Check for other similar suspicious activities in logs within the last 5 minutes.
4. Restore affected files from backup if available.
5. Notify security team and conduct a full forensic investigation.
6. Implement stricter access controls and monitoring on the bucket."
248,True,DataEncryptedForImpact,11/Feb/2025:21:00:07 +0000,Suspicious Data Encryption Activity Detected on dummy.log,"Within 5 minutes, the object 'dummy.log' in bucket 'databucket12312' was listed and then uploaded with the same filename, indicating potential data encryption for impact attack.",Investigate the user's activities and the uploaded file for unauthorized encryption. Restore affected files from backup if necessary. Implement stricter access controls and monitor for further suspicious activities.
252,True,DataEncryptedForImpact,07/Mar/2025:20:31:35 +0000,Suspicious File Upload After Download in databucket12312,A file named dummy.log was downloaded and then uploaded with the same filename within 5 minutes in the bucket databucket12312 by user HarunG1. This pattern matches the DataEncryptedForImpact detection rule indicating potential malicious activity such as data encryption for impact.,Investigate the user activity and uploaded file for unauthorized changes or encryption. Consider restoring the original file from backup if altered. Review access permissions and implement stricter controls if necessary. Monitor for further suspicious activities.
258,True,DataEncryptedForImpact,03/Mar/2025:04:00:04 +0000,Potential Data Encryption Impact Detected,"The bucket databucket12312 was listed and then files were downloaded and uploaded with the same filename within 5 minutes, indicating potential malicious activity related to data encryption for impact.",Investigate the user arn:aws:iam::767828738635:user/HarunG1 and IP 13.61.175.243 for unauthorized access. Review recent changes and backups. Consider revoking or rotating credentials and enhancing monitoring for suspicious activity.
263,True,DataEncryptedForImpact,03/Mar/2025:04:00:05 +0000,Suspicious Data Encryption Activity Detected,"Within 5 minutes, files in the bucket with data prefix were listed, downloaded, and then uploaded with the same filename 'dummy.log'. This sequence matches the DataEncryptedForImpact detection rule, indicating potential malicious data encryption activity.",Investigate the user 'arn:aws:iam::767828738635:user/HarunG1' for unauthorized access. Review and restrict permissions on the bucket 'databucket12312'. Check for signs of ransomware or other malicious activities. Restore affected files from backups if necessary and monitor for further suspicious activity.
267,True,DataEncryptedForImpact,10/Feb/2025:23:00:07 +0000,Suspicious Data Encryption Activity Detected,"Files in bucket databucket12312 with data prefix were listed and then files were downloaded and uploaded with the same filename within 5 minutes, indicating possible data encryption for impact.",Investigate the user activity and file changes immediately. Verify if the changes were authorized. Restore files from backup if necessary. Consider revoking or limiting user permissions temporarily to prevent further damage.
