event_index,malicious,detection,event_time,title,description,remediation_actions
2,True,CredentialsFromPasswordStores,2025-03-03T18:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"IAM user 'HarunG1' accessed the secret 'secretPassword' successfully at 18:00 UTC. Access to 'secretPassword' is allowed only for AWSService user, indicating unauthorized credential access attempt.",Review IAM user permissions and restrict access to secretPassword to authorized AWSService only. Rotate the secretPassword immediately. Monitor further access attempts and consider revoking compromised credentials.
4,True,CredentialsFromPasswordStores,2025-03-03T17:00:03Z,Unauthorized Access to secretPassword Secret,"An IAMUser named HarunG1 accessed the 'secretPassword' secret value successfully, which is against the policy allowing only AWSService users to access this secret. This indicates a potential credential compromise or misuse.",Immediately review and revoke the IAMUser's permissions to access secrets manager. Rotate the secretPassword credentials. Conduct a security audit to check for any further unauthorized access or compromise.
5,True,CredentialsFromPasswordStores,2025-03-03T01:00:02Z,Unauthorized Access to Secret Password,"An IAM user 'HarunG1' accessed the secret value 'secretPassword' in AWS Secrets Manager successfully at 01:00:02 UTC, which is considered a sensitive operation and flagged as malicious since the user is not an AWSService user.",Review the access permissions for the IAM user 'HarunG1'. Restrict access to sensitive secrets only to authorized AWSService users. Rotate the secret 'secretPassword' immediately and monitor for any further suspicious access attempts.
8,True,CredentialsFromPasswordStores,2025-03-03T04:00:03Z,Unauthorized Access to secretPassword Outside Usual Hours,"User 'HarunG1' accessed the secret value 'secretPassword' in Secrets Manager successfully at 04:00, which is outside the usual working hours (08:00-23:00). This indicates potential unauthorized access to sensitive credentials.",Immediately review the access logs for the user 'HarunG1' and verify if this access was authorized. Consider rotating the secret 'secretPassword' to prevent misuse. Enforce stricter access policies and monitor for further unusual access attempts.
10,True,CredentialsFromPasswordStores,2025-03-03T10:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"An IAM user HarunG1 accessed the secretPassword value stored in Secrets Manager successfully, which is only allowed for AWSService users. This indicates unauthorized credential access.",Immediately revoke the IAM user's access to Secrets Manager secrets containing sensitive credentials. Rotate the secretPassword value to prevent misuse. Review IAM policies and restrict access to sensitive secrets only to necessary AWSService roles.
12,True,CredentialsFromPasswordStores,2025-03-03T15:00:02Z,Unauthorized Access to secretPassword,"IAMUser HarunG1 successfully accessed the secret value 'secretPassword' in Secrets Manager. According to detection rules, access to 'secretPassword' by users other than AWSService is considered malicious.",Review the IAMUser HarunG1's permissions and access patterns. Rotate the secret 'secretPassword' immediately. Enable multi-factor authentication for the user. Monitor further access to secrets and audit logs for suspicious activities.
13,True,CredentialsFromPasswordStores,2025-03-03T06:00:02Z,Unauthorized Access to Secret Password,"An IAM user 'HarunG1' successfully accessed the secret value 'secretPassword' from Secrets Manager. The responseElements is null, indicating the access was successful. This is considered malicious as per detection rules unless accessed by AWSService user, which is not the case here.",Review the IAM user's permissions and access logs to verify legitimacy. Rotate the secret password immediately to prevent potential compromise. Implement stricter access controls and monitoring on Secrets Manager secrets.
17,True,CredentialsFromPasswordStores,2025-03-03T08:00:02Z,Unauthorized Access to secretPassword in Secrets Manager,"IAM user HarunG1 accessed the secret value 'secretPassword' successfully (responseElements is null). According to detection rules, only AWSService users should access this secret. This access is considered malicious.",Review IAM user HarunG1's permissions and access patterns. Rotate the secretPassword immediately. Enable monitoring and alerts for secret access. Consider restricting access to secrets manager secrets to AWSService users only.
18,True,CredentialsFromPasswordStores,2025-03-03T03:00:02Z,Unauthorized Access to Secret Password,An IAM user 'HarunG1' accessed the secret value 'secretPassword' in AWS Secrets Manager successfully (responseElements is null) at an unusual time (03:00 UTC). This indicates potential credential theft or misuse.,Immediately revoke the user's access keys and credentials. Rotate the secret 'secretPassword' to invalidate the exposed credentials. Conduct a full audit of the user's recent activities. Implement stricter access controls and monitoring for sensitive secrets access.
19,True,CredentialsFromPasswordStores,2025-03-03T07:00:02Z,Unauthorized Access to Secret Password,"An IAM user 'HarunG1' successfully accessed the secret value 'secretPassword' in AWS Secrets Manager outside of allowed user types. The access was successful as indicated by null responseElements, which may indicate credential theft or misuse.",Immediately review the IAM user's permissions and activity. Rotate the secret 'secretPassword' to invalidate any compromised credentials. Monitor for further unauthorized access attempts. Enforce stricter access controls and enable multi-factor authentication for sensitive operations.
