event_index,malicious,detection,event_time,title,description,remediation_actions
0,False,,20/Feb/2025:08:31:35 +0000,PUT Object Operation,A PUT operation was performed on the object 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' in bucket 'databucket12312' successfully with HTTP status 200. No suspicious activity detected based on current and prior events.,
1,False,,20/Feb/2025:08:31:35 +0000,PUT Object Operation,A PUT operation was performed on the object '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' in bucket 'databucket12312' successfully with HTTP status 200. No suspicious activity detected based on current and prior events.,
2,False,,20/Feb/2025:08:31:35 +0000,PUT Object Operation,A PUT operation was performed on the object 'dummy.log' in bucket 'databucket12312' successfully with HTTP status 200. No suspicious activity detected based on current and prior events.,
3,False,,18/Jan/2025:15:35:02 +0000,OPTIONS Prefight Request,An OPTIONS preflight request was made on the object 'dummy.log' in bucket 'databucket12312'. This is a normal CORS preflight request with HTTP status 200 and no suspicious activity detected.,
4,False,,18/Jan/2025:15:35:02 +0000,OPTIONS Prefight Request,An OPTIONS preflight request was made on the object 'conn_log_767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1240Z_51.21.114.68_1gap8ton.log' in bucket 'databucket12312'. This is a normal CORS preflight request with HTTP status 200 and no suspicious activity detected.,
5,False,,18/Jan/2025:15:35:02 +0000,OPTIONS Prefight Request,An OPTIONS preflight request was made on the object '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' in bucket 'databucket12312'. This is a normal CORS preflight request with HTTP status 200 and no suspicious activity detected.,
6,False,,18/Jan/2025:15:35:02 +0000,PUT Object Operation,A PUT operation was performed on the object '767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log' in bucket 'databucket12312' successfully with HTTP status 200. No suspicious activity detected based on current and prior events.,
8,False,,18/Jan/2025:15:35:02 +0000,REST.PUT.OBJECT operation on databucket12312,"A PUT operation was performed on object dummy.log in bucket databucket12312. No prior data prefix listing or matching download/upload activity within 5 minutes detected, so this activity is not flagged as malicious according to the current rule.",
9,False,,13/Feb/2025:14:31:36 +0000,REST.PUT.OBJECT operation on databucket12312,"A PUT operation was performed on object dummy.log in bucket databucket12312. No prior data prefix listing or matching download/upload activity within 5 minutes detected, so this activity is not flagged as malicious according to the current rule.",
10,False,,13/Feb/2025:14:31:36 +0000,REST.PUT.OBJECT operation on databucket12312,"A PUT operation was performed on object 767828738635_elasticloadbalancing_eu-north-1_app.demo-poc.4e397eb8a6cff091_20241231T1245Z_13.53.34.25_50p9ooxs.log in bucket databucket12312. No prior data prefix listing or matching download/upload activity within 5 minutes detected, so this activity is not flagged as malicious according to the current rule.",
